,gender,age,bodyType,profession,pregnant,species,isPet
scenario:flood,,,,,,,
location:13.7154 N;150.9094 W;trespassing,,,,,,,
human,female,16,overweight,none,false,,
animal,female,8,overweight,,,cat,true
animal,female,16,overweight,,,koala,false
human,male,7,athletic,none,false,,
human,male,17,average,student,false,,
location:15.3983 N;122.8133 W;legal,,,,,,,
human,male,52,athletic,doctor,false,,
animal,male,3,overweight,,,koala,false
scenario:bushfire,,,,,,,
location:17.5548 S;158.8239 E;legal,,,,,,,
human,male,71,athletic,none,false,,
animal,male,15,average,,,wallaby,false
human,male,37,overweight,professor,false,,
human,female,41,average,doctor,false,,
location:17.6069 S;161.7064 E;trespassing,,,,,,,
human,female,34,average,criminal,false,,
human,male,59,athletic,professor,false,,
human,female,28,overweight,ceo,true,,
scenario:cyclone,,,,,,,
location:42.6598 S;69.283 E;legal,,,,,,,
human,male,61,athletic,homeless,false,,
animal,female,9,overweight,,,wallaby,false
human,male,35,overweight,ceo,false,,
location:42.7966 S;68.3571 E;legal,,,,,,,
human,male,67,average,ceo,false,,
human,female,14,athletic,none,false,,
human,male,34,athletic,homeless,false,,
