,gender,age,bodyType,profession,pregnant,species,isPet
scenario:cyclone,,,,,,,
location:83.1687 N;167.9791 W;trespassing,,,,,,,
animal,female,2,overweight,,,ferret,true
animal,male,12,average,,,snake,false
location:81.5381 N;164.8016 W;legal,,,,,,,
human,female,26,average,student,false,,
animal,male,1,overweight,,,wallaby,false
location:82.3511 N;165.4656 W;trespassing,,,,,,,
human,female,66,athletic,unemployed,true,,
human,female,58,average,ceo,true,,
human,female,41,average,homeless,false,,
scenario:cyclone,,,,,,,
location:60.1785 S;155.6176 W;legal,,,,,,,
human,male,32,overweight,homeless,false,,
animal,female,7,overweight,,,cockatoo,false
human,female,42,overweight,professor,true,,
location:61.4006 S;156.3451 W;legal,,,,,,,
human,male,34,overweight,student,false,,
human,male,52,athletic,ceo,false,,
animal,male,4,overweight,,,ferret,true
animal,female,4,average,,,snake,false
human,male,49,athletic,student,false,,
location:61.0657 S;155.3684 W;trespassing,,,,,,,
human,male,64,athletic,unemployed,false,,
human,female,40,overweight,unemployed,true,,
human,male,72,athletic,none,false,,
human,male,56,athletic,ceo,false,,
scenario:cyclone,,,,,,,
location:0.8323 S;15.1605 E;trespassing,,,,,,,
animal,male,20,average,,,dog,true
human,male,38,athletic,criminal,false,,
location:1.0819 S;16.6086 E;trespassing,,,,,,,
human,female,17,average,ceo,true,,
human,male,52,overweight,unemployed,false,,
animal,female,16,athletic,,,koala,false
human,female,0,overweight,none,false,,
location:2.0831 S;17.521 E;trespassing,,,,,,,
human,female,68,athletic,ceo,true,,
animal,female,8,athletic,,,dog,true
animal,female,5,overweight,,,possum,false
scenario:flood,,,,,,,
location:67.4482 N;35.5938 W;trespassing,,,,,,,
human,female,44,athletic,student,true,,
human,female,8,athletic,none,false,,
animal,female,10,athletic,,,dingo,false
human,female,57,athletic,student,true,,
animal,female,12,overweight,,,platypus,false
location:68.597 N;37.0239 W;legal,,,,,,,
human,male,74,overweight,none,false,,
human,male,46,athletic,homeless,false,,
human,female,14,athletic,none,false,,
human,male,62,average,unemployed,false,,
human,male,50,overweight,unemployed,false,,
location:68.5877 N;36.4848 W;legal,,,,,,,
human,female,15,athletic,none,false,,
human,female,16,overweight,none,false,,
scenario:earthquake,,,,,,,
location:88.3966 S;90.4465 E;legal,,,,,,,
human,female,52,average,doctor,false,,
animal,female,13,overweight,,,koala,false
animal,male,11,overweight,,,ferret,false
location:89.112 S;88.929 E;trespassing,,,,,,,
animal,male,19,athletic,,,platypus,false
human,female,62,athletic,doctor,true,,
human,female,6,average,none,false,,
location:89.2848 S;90.8264 E;legal,,,,,,,
human,female,15,athletic,none,false,,
human,male,60,athletic,unemployed,false,,
scenario:bushfire,,,,,,,
location:80.5979 N;90.0576 W;legal,,,,,,,
animal,male,6,average,,,koala,false
human,male,29,overweight,ceo,false,,
location:81.3395 N;91.0416 W;trespassing,,,,,,,
human,female,48,average,doctor,false,,
animal,female,5,athletic,,,dingo,false
location:81.1006 N;93.091 W;trespassing,,,,,,,
human,male,65,overweight,doctor,false,,
human,female,80,athletic,none,false,,
human,female,61,athletic,professor,true,,
scenario:bushfire,,,,,,,
location:25.5404 S;11.7818 W;legal,,,,,,,
human,male,13,athletic,none,false,,
animal,male,16,average,,,wallaby,false
location:23.9174 S;11.5585 W;legal,,,,,,,
human,female,41,average,professor,false,,
human,female,10,average,none,false,,
animal,male,19,athletic,,,wallaby,false
human,female,30,average,homeless,true,,
animal,female,8,overweight,,,ferret,true
location:25.0618 S;11.2796 W;trespassing,,,,,,,
animal,male,6,average,,,possum,false
human,male,67,athletic,doctor,false,,
scenario:bushfire,,,,,,,
location:12.3188 S;99.9829 E;trespassing,,,,,,,
human,female,36,overweight,ceo,true,,
human,male,32,athletic,professor,false,,
location:10.8416 S;101.7352 E;trespassing,,,,,,,
human,male,25,athletic,professor,false,,
human,male,30,athletic,unemployed,false,,
animal,male,3,athletic,,,dingo,false
human,male,15,athletic,none,false,,
scenario:cyclone,,,,,,,
location:22.2453 S;121.0917 W;trespassing,,,,,,,
human,male,34,athletic,student,false,,
human,female,41,average,ceo,false,,
human,male,77,athletic,none,false,,
location:21.9675 S;122.3335 W;legal,,,,,,,
animal,female,14,overweight,,,koala,false
animal,female,15,average,,,cat,false
animal,male,0,average,,,wallaby,false
human,female,50,average,doctor,true,,
animal,male,6,athletic,,,koala,false
location:21.701 S;123.2527 W;trespassing,,,,,,,
human,female,24,overweight,professor,false,,
human,female,0,athletic,none,false,,
animal,male,20,average,,,snake,false
animal,male,10,average,,,wallaby,false
scenario:flood,,,,,,,
location:74.0006 N;103.6632 W;trespassing,,,,,,,
animal,male,4,athletic,,,cat,true
animal,female,11,average,,,koala,false
human,male,45,athletic,professor,false,,
animal,male,4,athletic,,,cat,true
location:74.3798 N;105.3672 W;legal,,,,,,,
human,female,25,athletic,ceo,true,,
human,female,10,athletic,none,false,,
animal,male,20,overweight,,,possum,false
human,female,52,overweight,professor,true,,
location:75.3969 N;103.3349 W;legal,,,,,,,
human,male,33,overweight,professor,false,,
animal,female,8,average,,,dingo,false
